,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
Q13639,0.9953,0.995,0.9024,0.9067,0.998,0.998,0.9614,0.9621,0.9964,0.9965,0.9361,0.9373,0.9976,0.9976,0.9559,0.956,10124,2532,344,12312,rf,cohen_kappa,0.9614
P15086,0.9722,0.9585,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996,0.9959,0.9211,0.9239,1006,252,34,1224,rf,f1_score,1.0
P11086,0.9874,0.987,0.9163,0.9195,0.9937,0.9936,0.9595,0.9603,0.9874,0.9878,0.9264,0.9289,0.9937,0.9938,0.9621,0.9628,633,159,72,720,mlp,cohen_kappa,0.9621
P10828,0.9891,0.9889,0.9323,0.9331,0.9957,0.9956,0.9732,0.9736,0.9978,0.9978,0.9868,0.9868,0.9978,0.9978,0.9868,0.9868,1839,460,209,2090,svc,cohen_kappa,0.9868
Q07817,0.9907,0.9906,0.9423,0.9428,0.9938,0.9937,0.9613,0.962,0.9959,0.9959,0.9753,0.9753,0.9928,0.9928,0.956,0.9561,3880,971,441,4410,svc,cohen_kappa,0.9753
Q9Y5Y4,0.9976,0.9976,0.9852,0.9852,0.9986,0.9986,0.9915,0.9916,0.9969,0.9969,0.9813,0.9814,0.9979,0.9979,0.9874,0.9874,11519,2880,1309,13090,rf,cohen_kappa,0.9915
O00767,0.9954,0.9952,0.9056,0.9096,0.9964,0.9963,0.9272,0.9297,0.9974,0.9974,0.9499,0.9499,0.9967,0.9967,0.9381,0.9381,12224,3057,413,14868,svc,cohen_kappa,0.9499
P07711,0.9918,0.9917,0.9495,0.9497,0.9895,0.9892,0.933,0.9347,0.9778,0.9782,0.8712,0.8725,0.9912,0.9912,0.9463,0.9464,6828,1708,776,7760,xgb,cohen_kappa,0.9495
Q16602,0.9955,0.9955,0.9725,0.9726,0.9955,0.9955,0.9722,0.9726,0.9955,0.9956,0.9732,0.9732,0.9933,0.9933,0.9588,0.9589,3581,896,407,4070,svc,cohen_kappa,0.9732
P50281,0.9921,0.9919,0.9502,0.9514,0.996,0.996,0.9756,0.9759,0.9947,0.9947,0.9681,0.9681,0.9894,0.9892,0.9336,0.9348,3018,755,343,3430,rf,cohen_kappa,0.9756
Q9H773,0.9712,0.9569,0.0,0.0,0.9952,0.995,0.9066,0.9106,0.9952,0.995,0.9066,0.9106,0.9904,0.9904,0.8284,0.8284,828,208,28,1008,rf,f1_score,0.995
P17655,0.9872,0.9853,0.6784,0.7164,0.9947,0.9944,0.8862,0.892,0.9957,0.9956,0.9109,0.9145,0.9979,0.9978,0.9572,0.9581,3759,940,127,4572,mlp,cohen_kappa,0.9572
P25021,0.9057,0.8608,0.0,0.0,0.9434,0.9321,0.547,0.6136,0.9434,0.9457,0.696,0.6996,0.9245,0.9159,0.4619,0.4796,211,53,24,240,svc,f1_score,0.9457
P06870,0.9726,0.9591,0.0,0.0,0.9886,0.9871,0.7314,0.7593,0.9886,0.9888,0.7941,0.7948,0.984,0.9837,0.6875,0.6881,1748,438,62,2124,svc,f1_score,0.9888
P43490,0.985,0.9844,0.9025,0.9068,0.981,0.9799,0.8731,0.8802,0.966,0.9669,0.8064,0.8084,0.9837,0.9831,0.8944,0.8979,2939,735,334,3340,xgb,cohen_kappa,0.9025
Q96RI1,0.9856,0.983,0.63,0.6781,1.0,1.0,1.0,1.0,0.9982,0.9982,0.9668,0.9673,0.9955,0.9957,0.9208,0.9237,4440,1110,150,5400,rf,cohen_kappa,1.0
O60885,0.9934,0.993,0.86,0.8668,0.9959,0.9957,0.9146,0.9179,0.9959,0.9959,0.9229,0.9232,0.9972,0.9973,0.9486,0.9489,11573,2894,391,14076,mlp,cohen_kappa,0.9486
P03952,0.9895,0.9892,0.9337,0.9357,0.9948,0.9947,0.9677,0.9682,0.9869,0.987,0.9223,0.9225,0.9869,0.9864,0.9159,0.9192,1522,381,173,1730,rf,cohen_kappa,0.9677
O75762,0.9703,0.9677,0.7906,0.8085,0.9886,0.9882,0.9271,0.9296,0.9772,0.9772,0.8624,0.8624,0.9817,0.9815,0.8874,0.8878,1751,438,199,1990,rf,cohen_kappa,0.9271
P27707,0.974,0.9612,0.0,0.0,1.0,1.0,1.0,1.0,0.9974,0.9975,0.951,0.9522,0.9974,0.9973,0.946,0.9474,1539,385,52,1872,rf,f1_score,1.0
P35414,0.8462,0.848,0.6977,0.7319,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9231,0.924,0.8434,0.8539,48,13,25,36,rf,cohen_kappa,1.0
P11597,0.9971,0.997,0.9417,0.9429,0.9982,0.9982,0.9649,0.9652,0.9948,0.995,0.9072,0.9088,0.998,0.998,0.9613,0.9613,17819,4455,602,21672,rf,cohen_kappa,0.9649
Q9HBA0,0.9697,0.9689,0.807,0.8087,1.0,1.0,1.0,1.0,0.9899,0.9901,0.9418,0.9434,1.0,1.0,1.0,1.0,396,99,45,450,rf,cohen_kappa,1.0
P50052,0.9804,0.9804,0.9561,0.9562,1.0,1.0,1.0,1.0,0.9935,0.9935,0.9854,0.9855,0.9935,0.9935,0.9854,0.9855,612,153,255,510,rf,cohen_kappa,1.0
P48039,0.9914,0.9912,0.9455,0.9469,0.9914,0.9912,0.9455,0.9469,0.9906,0.9907,0.9444,0.9448,0.9922,0.9923,0.954,0.9547,5112,1279,581,5810,mlp,cohen_kappa,0.954
Q00535,0.9708,0.9564,0.0,0.0,0.9825,0.9788,0.5641,0.6268,0.9825,0.9832,0.7183,0.7215,0.9942,0.9938,0.8859,0.8917,680,171,23,828,mlp,f1_score,0.9938
P22894,0.9958,0.9958,0.9745,0.9746,0.9948,0.9947,0.9677,0.9682,0.9958,0.9959,0.975,0.975,0.9948,0.9948,0.9682,0.9683,7691,1923,874,8740,svc,cohen_kappa,0.975
Q16445,0.9719,0.9581,0.0,0.0,1.0,1.0,1.0,1.0,0.9888,0.9897,0.8277,0.8403,0.9831,0.9796,0.5644,0.627,710,178,24,864,rf,f1_score,1.0
P14091,0.9719,0.958,0.0,0.0,1.0,1.0,1.0,1.0,0.9938,0.9941,0.8968,0.9016,0.9969,0.997,0.9458,0.9472,1279,320,46,1553,rf,f1_score,1.0
P43681,0.986,0.9859,0.913,0.9131,0.9916,0.9915,0.9478,0.9479,0.9776,0.9784,0.8734,0.8774,0.9916,0.9915,0.9478,0.9479,1425,357,162,1620,rf,cohen_kappa,0.9478
P48058,0.9745,0.9618,0.0,0.0,0.9927,0.9921,0.8297,0.842,0.9745,0.9777,0.6193,0.6435,0.9891,0.9876,0.7221,0.7517,1095,274,37,1332,rf,f1_score,0.9921
P06276,0.9888,0.9886,0.9294,0.9309,0.9883,0.9879,0.9248,0.9274,0.9849,0.9851,0.9111,0.9115,0.9905,0.9905,0.9428,0.9428,7154,1789,813,8130,mlp,cohen_kappa,0.9428
Q99705,0.998,0.998,0.9877,0.9877,0.998,0.998,0.9877,0.9877,0.9978,0.9978,0.9865,0.9865,0.9969,0.9968,0.9809,0.9809,17828,4458,2026,20260,xgb,cohen_kappa,0.9877
Q9UNA0,0.9927,0.9921,0.8414,0.8522,0.996,0.9959,0.919,0.922,0.994,0.994,0.8885,0.8886,0.9953,0.9951,0.9043,0.9085,6008,1503,203,7308,rf,cohen_kappa,0.919
P01042,0.9725,0.959,0.0,0.0,0.9977,0.9977,0.9553,0.9563,0.9954,0.9956,0.9207,0.9236,0.9977,0.9977,0.9553,0.9563,1746,437,59,2124,rf,f1_score,0.9977
P11474,0.9219,0.8956,0.2661,0.3917,1.0,1.0,1.0,1.0,0.9688,0.9707,0.84,0.851,0.9531,0.9459,0.6444,0.6895,255,64,29,290,rf,cohen_kappa,1.0
Q9NR97,0.9787,0.9773,0.8459,0.8561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184,47,21,210,rf,cohen_kappa,1.0
P0DMS9,0.9677,0.9644,0.7613,0.784,0.9839,0.9831,0.8913,0.8966,0.9677,0.9677,0.8005,0.8005,0.9758,0.9741,0.8294,0.8417,492,124,56,560,rf,cohen_kappa,0.8913
P35408,0.9967,0.9967,0.98,0.98,0.9951,0.995,0.9693,0.9697,0.9951,0.9951,0.9707,0.9712,0.9902,0.9903,0.942,0.9427,2437,610,277,2770,xgb,cohen_kappa,0.98
P98073,0.9987,0.9987,0.9749,0.9753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6216,1554,210,7560,rf,cohen_kappa,1.0
Q13393,0.9893,0.989,0.9317,0.9339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,748,187,85,850,rf,cohen_kappa,1.0
P08246,0.9902,0.9899,0.9377,0.9396,0.9837,0.983,0.8931,0.8977,0.9692,0.9702,0.8266,0.8296,0.9888,0.9886,0.9304,0.9309,8571,2143,974,9740,xgb,cohen_kappa,0.9377
P01275,0.9987,0.9987,0.9749,0.9752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3048,763,103,3708,rf,cohen_kappa,1.0
P23443,0.9949,0.9949,0.9687,0.9691,0.9966,0.9966,0.9793,0.9795,0.9932,0.9932,0.9592,0.9592,0.9966,0.9966,0.9793,0.9795,2367,592,269,2690,rf,cohen_kappa,0.9793
P78540,0.9712,0.9569,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,828,208,28,1008,rf,f1_score,1.0
P51449,0.9512,0.9512,0.8906,0.8906,0.9573,0.9568,0.902,0.9043,0.9268,0.9277,0.8402,0.8429,0.8902,0.8919,0.7624,0.7666,655,164,273,546,rf,cohen_kappa,0.902
Q8TEK3,0.9739,0.961,0.0,0.0,0.9957,0.9958,0.9209,0.9238,0.9957,0.9958,0.9209,0.9238,1.0,1.0,1.0,1.0,917,230,31,1116,mlp,f1_score,1.0
P09958,0.9938,0.9937,0.9621,0.9628,0.9876,0.9872,0.9218,0.9246,0.9876,0.9879,0.9306,0.9329,0.9814,0.9816,0.8929,0.8935,642,161,73,730,xgb,cohen_kappa,0.9621
P03951,0.9968,0.9968,0.9364,0.9383,0.9995,0.9995,0.9914,0.9914,0.9973,0.9974,0.951,0.9521,0.9995,0.9996,0.9915,0.9915,8883,2221,302,10802,mlp,cohen_kappa,0.9915
P62993,0.9955,0.9954,0.931,0.9333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997,0.9971,0.9585,0.9593,2687,672,119,3240,rf,cohen_kappa,1.0
Q9UGN5,0.96,0.957,0.7289,0.7411,0.9733,0.9713,0.8193,0.833,1.0,1.0,1.0,1.0,0.9733,0.9713,0.8193,0.833,598,150,68,680,svc,cohen_kappa,1.0
Q9GZN0,0.9776,0.9761,0.8452,0.8556,0.9865,0.9861,0.9116,0.9152,0.9955,0.9956,0.9731,0.9735,0.9596,0.9592,0.7471,0.7474,888,223,101,1010,svc,cohen_kappa,0.9731
P55899,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9577,0.9615,0.7774,0.7974,281,71,32,320,xgb,cohen_kappa,1.0
O43174,0.9884,0.9869,0.7278,0.7564,0.9985,0.9985,0.9722,0.9726,0.9985,0.9986,0.9736,0.974,0.9985,0.9986,0.9736,0.974,2752,689,93,3348,svc,cohen_kappa,0.9736
P09237,0.9934,0.9934,0.9603,0.9603,0.9978,0.9978,0.987,0.9871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1830,458,208,2080,svc,cohen_kappa,1.0
Q969F8,0.9885,0.9887,0.9325,0.9327,0.9962,0.9962,0.9775,0.9777,1.0,1.0,1.0,1.0,0.9924,0.9924,0.9541,0.9541,1047,262,119,1190,svc,cohen_kappa,1.0
Q9H2K2,0.9931,0.993,0.9573,0.9581,0.9885,0.9882,0.9271,0.9296,0.9725,0.9731,0.842,0.8431,0.9908,0.9907,0.9437,0.9441,1742,436,198,1980,xgb,cohen_kappa,0.9573
P05121,0.9671,0.9638,0.7657,0.7876,0.9803,0.9792,0.8694,0.8769,0.9737,0.9751,0.8606,0.869,0.9868,0.9864,0.9159,0.9192,607,152,69,690,mlp,cohen_kappa,0.9159
Q92793,0.9724,0.9588,0.0,0.0,0.9816,0.9771,0.493,0.572,0.9785,0.98,0.6558,0.6631,0.9847,0.9818,0.6087,0.6615,1302,326,44,1584,mlp,f1_score,0.9818
Q13526,0.9737,0.9717,0.8195,0.8332,0.9737,0.9728,0.8319,0.8348,0.9671,0.9676,0.8094,0.81,0.9671,0.9666,0.7968,0.7975,607,152,69,690,rf,cohen_kappa,0.8319
O15055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9867,0.9862,0.9158,0.9191,299,75,34,340,xgb,cohen_kappa,1.0
P28222,0.9841,0.9835,0.8967,0.9005,0.9841,0.9834,0.8957,0.9006,0.985,0.9852,0.9119,0.9125,0.9868,0.9867,0.9188,0.919,4532,1133,515,5150,mlp,cohen_kappa,0.9188
P23786,0.973,0.9596,0.0,0.0,0.9923,0.9916,0.8295,0.8418,0.9961,0.9963,0.9314,0.9336,0.9923,0.9916,0.8295,0.8418,1036,259,35,1260,svc,f1_score,0.9963
P28161,0.973,0.9596,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9961,0.9963,0.9314,0.9336,1036,259,35,1260,rf,f1_score,1.0
P62937,0.9869,0.9864,0.916,0.9192,0.9956,0.9956,0.9732,0.9736,0.9956,0.9956,0.9732,0.9736,0.9913,0.9911,0.9452,0.9466,915,229,104,1040,rf,cohen_kappa,0.9732
P41968,0.9895,0.9886,0.8096,0.8247,1.0,1.0,1.0,1.0,0.9979,0.9979,0.9686,0.9691,0.9979,0.9979,0.9686,0.9691,1909,478,81,2306,rf,cohen_kappa,1.0
P09871,0.9982,0.9982,0.9646,0.9652,0.9982,0.9982,0.9646,0.9652,0.9982,0.9982,0.9646,0.9652,0.9982,0.9982,0.9646,0.9652,2220,555,75,2700,xgb,cohen_kappa,0.9646
O75874,0.9974,0.9974,0.9843,0.9844,1.0,1.0,1.0,1.0,0.9974,0.9975,0.9847,0.9848,0.9987,0.9987,0.9923,0.9923,3124,781,355,3550,rf,cohen_kappa,1.0
P14780,0.9973,0.9972,0.9832,0.9833,0.997,0.997,0.9817,0.9818,0.9945,0.9946,0.9672,0.9672,0.9978,0.9978,0.9865,0.9865,16068,4018,1826,18260,mlp,cohen_kappa,0.9865
Q02156,0.974,0.972,0.8197,0.8333,0.987,0.9866,0.916,0.9193,0.987,0.9866,0.916,0.9193,0.9827,0.9819,0.8854,0.8913,924,231,105,1050,rf,cohen_kappa,0.916
P13501,0.975,0.9627,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,799,200,27,972,rf,f1_score,1.0
P11309,0.9947,0.9947,0.9674,0.9677,0.9951,0.9951,0.9699,0.9702,0.9964,0.9964,0.9781,0.9782,0.9947,0.9947,0.9682,0.9682,9873,2469,1122,11220,svc,cohen_kappa,0.9781
O60341,0.96,0.9599,0.9098,0.91,0.984,0.9839,0.9637,0.9644,0.944,0.9447,0.8781,0.8814,0.976,0.9761,0.9465,0.9467,496,125,207,414,rf,cohen_kappa,0.9637
P42262,0.9806,0.9799,0.8747,0.8783,0.9834,0.9826,0.891,0.8964,0.9806,0.9812,0.8907,0.8934,0.9834,0.9829,0.8942,0.8964,1443,361,164,1640,mlp,cohen_kappa,0.8942
P09238,0.9773,0.9758,0.8451,0.8554,0.983,0.9822,0.8874,0.8931,0.9886,0.9886,0.9313,0.9313,0.9886,0.9883,0.9272,0.9296,704,176,80,800,svc,cohen_kappa,0.9312
P14324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4262,1066,144,5184,xgb,cohen_kappa,1.0
P16499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,404,102,46,460,xgb,cohen_kappa,1.0
Q07820,0.9935,0.9934,0.9594,0.9602,0.9918,0.9917,0.9496,0.9501,0.9886,0.9887,0.9328,0.9332,0.9886,0.9888,0.9339,0.9349,2446,612,278,2780,xgb,cohen_kappa,0.9594
Q9NYK1,0.9895,0.9892,0.9354,0.9374,0.9895,0.9892,0.9354,0.9374,0.9789,0.9789,0.8773,0.8773,1.0,1.0,1.0,1.0,378,95,43,430,mlp,cohen_kappa,1.0
P53671,0.9909,0.9907,0.9424,0.944,1.0,1.0,1.0,1.0,0.9955,0.9955,0.9731,0.9735,0.9955,0.9955,0.9731,0.9735,880,220,100,1000,rf,cohen_kappa,1.0
Q9Y2R2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,299,75,34,340,xgb,cohen_kappa,1.0
P42356,0.9091,0.8658,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9773,0.9784,0.8764,0.8832,176,44,20,200,rf,f1_score,1.0
P49683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9886,0.9889,0.9349,0.9369,704,176,80,800,xgb,cohen_kappa,1.0
Q9Y463,0.9725,0.9589,0.0,0.0,0.99,0.9889,0.7729,0.7937,0.9975,0.9974,0.9511,0.9522,0.9975,0.9976,0.9552,0.9562,1598,400,54,1944,mlp,f1_score,0.9976
P21730,0.9883,0.9866,0.7145,0.7455,0.9983,0.9983,0.9669,0.9674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4765,1192,161,5796,svc,cohen_kappa,1.0
P08922,0.9767,0.9752,0.8448,0.8551,0.9767,0.9752,0.8448,0.8551,0.9767,0.9752,0.8448,0.8551,0.9884,0.988,0.927,0.9295,343,86,39,390,mlp,cohen_kappa,0.927
P12821,0.997,0.997,0.9424,0.9425,0.9996,0.9996,0.9918,0.9918,0.9948,0.995,0.9078,0.9095,0.9991,0.9991,0.9834,0.9836,9264,2317,313,11268,rf,cohen_kappa,0.9918
P30411,0.9917,0.9912,0.8351,0.8402,0.9954,0.9953,0.9143,0.9148,0.9963,0.9963,0.9346,0.9347,0.9954,0.9954,0.917,0.917,8638,2160,310,10488,svc,cohen_kappa,0.9346
Q12791,0.9724,0.9588,0.0,0.0,0.9816,0.9771,0.493,0.572,0.9816,0.9825,0.6906,0.6943,0.9877,0.986,0.7085,0.7407,1302,326,44,1584,mlp,f1_score,0.986
O15554,0.9741,0.9614,0.0,0.0,0.9885,0.9878,0.7442,0.7504,0.9943,0.9943,0.8859,0.8859,0.9856,0.9842,0.6596,0.6738,1391,348,47,1692,svc,f1_score,0.9943
Q07912,0.9737,0.9608,0.0,0.0,0.9925,0.9919,0.8296,0.8419,0.9925,0.9925,0.8533,0.8533,0.9925,0.9919,0.8296,0.8419,2131,533,72,2592,svc,f1_score,0.9925
P28702,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,545,137,62,620,xgb,cohen_kappa,1.0
Q9NPC2,0.9902,0.9899,0.9358,0.9378,0.9902,0.9899,0.9358,0.9378,0.9608,0.9625,0.7785,0.7833,0.9902,0.9899,0.9358,0.9378,404,102,46,460,xgb,cohen_kappa,0.9358
P25024,0.997,0.9969,0.9396,0.9413,0.997,0.9969,0.9396,0.9413,0.9954,0.9954,0.9119,0.9123,0.997,0.9969,0.9396,0.9413,2634,659,89,3204,xgb,cohen_kappa,0.9396
P37231,0.9961,0.996,0.9759,0.9762,0.9966,0.9965,0.9789,0.9792,0.9936,0.9936,0.9616,0.9616,0.9956,0.9956,0.9729,0.9731,8166,2042,928,9280,rf,cohen_kappa,0.9789
Q92934,0.9719,0.9581,0.0,0.0,0.9944,0.9941,0.886,0.8919,1.0,1.0,1.0,1.0,0.9944,0.9941,0.886,0.8919,710,178,24,864,svc,f1_score,1.0
P28482,0.9964,0.9964,0.9779,0.9781,0.9964,0.9964,0.9779,0.9781,0.997,0.997,0.982,0.982,0.9988,0.9988,0.9928,0.9928,6696,1675,761,7610,mlp,cohen_kappa,0.9928
P42892,0.9915,0.9908,0.8098,0.8248,0.9963,0.9962,0.9244,0.9271,0.9979,0.9979,0.9589,0.9591,0.9952,0.9951,0.9048,0.906,7548,1887,255,9180,svc,cohen_kappa,0.9589
P62942,0.9947,0.9946,0.9668,0.9673,0.996,0.996,0.9756,0.9756,0.9987,0.9987,0.9919,0.9919,0.9973,0.9973,0.9836,0.9837,3000,751,341,3410,svc,cohen_kappa,0.9919
Q99873,0.9655,0.9615,0.7327,0.7604,0.9655,0.9615,0.7327,0.7604,0.9655,0.9615,0.7327,0.7604,0.9483,0.9379,0.5492,0.6153,228,58,26,260,xgb,cohen_kappa,0.7327
P11169,0.9565,0.9571,0.9069,0.9108,0.9565,0.9558,0.9013,0.9057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88,23,37,74,svc,cohen_kappa,1.0
P16109,0.9062,0.8617,0.0,0.0,0.9375,0.9229,0.4754,0.5584,0.9531,0.9512,0.7019,0.7054,0.9219,0.8956,0.2661,0.3917,255,64,29,290,svc,f1_score,0.9512
P08173,0.9843,0.9839,0.9006,0.9028,0.9754,0.974,0.8361,0.8438,0.9441,0.947,0.7005,0.7066,0.9821,0.9817,0.8877,0.8891,1786,447,203,2030,xgb,cohen_kappa,0.9006
P37058,0.997,0.9969,0.9814,0.9816,0.9939,0.9938,0.9622,0.9629,0.997,0.9969,0.9814,0.9816,0.9939,0.9939,0.9633,0.9633,1320,330,150,1500,xgb,cohen_kappa,0.9814
Q12860,0.9939,0.9938,0.9622,0.9629,1.0,1.0,1.0,1.0,0.9939,0.994,0.9644,0.965,0.9939,0.9938,0.9622,0.9629,660,165,75,750,rf,cohen_kappa,1.0
Q9Y5Y6,0.9959,0.9959,0.975,0.9753,0.9959,0.9959,0.975,0.9753,1.0,1.0,1.0,1.0,0.9959,0.9959,0.975,0.9753,1962,491,223,2230,svc,cohen_kappa,1.0
Q04206,0.9167,0.8768,0.0,0.0,0.9667,0.9667,0.7818,0.7818,0.9833,0.984,0.9,0.9045,0.9167,0.8768,0.0,0.0,237,60,27,270,svc,f1_score,0.984
Q00987,0.9984,0.9984,0.9905,0.9905,0.9972,0.9972,0.9827,0.9828,0.9972,0.9972,0.983,0.983,0.9975,0.9975,0.9849,0.9849,12742,3186,1448,14480,xgb,cohen_kappa,0.9905
Q9NPH5,0.9621,0.9575,0.7179,0.7483,0.9773,0.9758,0.8451,0.8554,0.9848,0.9842,0.9009,0.9054,0.9773,0.9758,0.8451,0.8554,528,132,60,600,svc,cohen_kappa,0.9009
Q15910,0.9965,0.9964,0.9781,0.9783,1.0,1.0,1.0,1.0,0.9982,0.9982,0.9893,0.9894,0.9982,0.9982,0.9893,0.9894,2252,564,256,2560,rf,cohen_kappa,1.0
P28062,0.9878,0.9874,0.9165,0.9197,0.9878,0.9874,0.9165,0.9197,0.9878,0.9882,0.9267,0.9292,0.9756,0.9756,0.8438,0.8438,325,82,37,370,svc,cohen_kappa,0.9267
P07858,0.9899,0.989,0.7728,0.787,0.9924,0.992,0.8383,0.845,0.9865,0.9867,0.7506,0.751,0.9933,0.9934,0.8753,0.8757,14237,3560,481,17316,mlp,cohen_kappa,0.8753
P05412,0.9669,0.9636,0.7609,0.7836,0.9669,0.9636,0.7609,0.7836,0.9752,0.9757,0.8559,0.8569,0.9669,0.9636,0.7609,0.7836,484,121,55,550,svc,cohen_kappa,0.8559
P55055,0.9889,0.9886,0.9286,0.9309,0.9889,0.9886,0.9286,0.9309,0.9905,0.9907,0.9448,0.9462,0.9984,0.9984,0.9904,0.9905,2525,632,287,2870,mlp,cohen_kappa,0.9904
O00255,0.9815,0.9805,0.8789,0.8854,0.9815,0.9805,0.8789,0.8854,0.9907,0.9909,0.9473,0.9486,0.963,0.9587,0.7313,0.7593,431,108,49,490,svc,cohen_kappa,0.9473
P49721,0.942,0.9284,0.4773,0.5599,0.971,0.9683,0.785,0.8038,0.9855,0.9849,0.9013,0.9057,1.0,1.0,1.0,1.0,272,69,31,310,mlp,cohen_kappa,1.0
Q16478,0.9744,0.9617,0.0,0.0,1.0,1.0,1.0,1.0,0.9936,0.9939,0.8856,0.8915,1.0,1.0,1.0,1.0,621,156,21,756,rf,f1_score,1.0
P36639,0.9719,0.9581,0.0,0.0,0.9888,0.9874,0.7446,0.7702,0.9888,0.9874,0.7446,0.7702,0.9831,0.9796,0.5644,0.627,710,178,24,864,rf,f1_score,0.9874
O76083,0.9945,0.9942,0.8818,0.8881,0.9972,0.9972,0.944,0.9455,0.9991,0.9991,0.982,0.9821,0.9991,0.9991,0.982,0.9821,4351,1088,147,5292,svc,cohen_kappa,0.982
P29466,0.9955,0.9955,0.9899,0.99,0.9955,0.9955,0.9899,0.99,0.9866,0.9866,0.9698,0.9699,0.9866,0.9866,0.9698,0.9699,892,224,372,744,xgb,cohen_kappa,0.9899
Q13882,0.9667,0.9662,0.9231,0.9258,0.9667,0.9662,0.9231,0.9258,0.9333,0.9333,0.85,0.85,0.9667,0.967,0.9268,0.9293,120,30,50,100,mlp,cohen_kappa,0.9268
P35557,0.9744,0.9741,0.9412,0.9428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9487,0.9487,0.8846,0.8846,156,39,65,130,rf,cohen_kappa,1.0
P25098,0.9723,0.9587,0.0,0.0,1.0,1.0,1.0,1.0,0.9965,0.9966,0.9394,0.9411,0.9965,0.9966,0.9394,0.9411,1154,289,39,1404,rf,f1_score,1.0
O14939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9938,0.9939,0.9643,0.9649,1.0,1.0,1.0,1.0,642,161,73,730,xgb,cohen_kappa,1.0
P43166,0.9901,0.9894,0.7845,0.795,0.9923,0.9919,0.8408,0.8447,0.9895,0.9896,0.8057,0.8059,0.996,0.996,0.9237,0.9237,12964,3241,442,15763,mlp,cohen_kappa,0.9237
O14920,0.9946,0.9944,0.8862,0.892,0.9967,0.9965,0.9316,0.9338,0.998,0.998,0.9628,0.9635,0.9987,0.9987,0.9749,0.9752,5979,1495,202,7272,mlp,cohen_kappa,0.9749
P30536,0.9351,0.9328,0.5802,0.5822,1.0,1.0,1.0,1.0,0.974,0.9755,0.8608,0.8692,0.9481,0.9384,0.5769,0.6367,308,77,35,350,rf,cohen_kappa,1.0
Q8N474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,598,150,68,680,xgb,cohen_kappa,1.0
Q9H228,0.9904,0.9902,0.9382,0.94,0.9968,0.9968,0.9801,0.9803,0.9936,0.9936,0.9608,0.9608,0.9968,0.9968,0.9801,0.9803,1249,313,142,1420,rf,cohen_kappa,0.9801
P11388,0.973,0.9596,0.0,0.0,0.9797,0.9783,0.5613,0.5674,0.9865,0.9865,0.7431,0.7431,0.9865,0.9865,0.7431,0.7431,592,148,20,720,svc,f1_score,0.9865
Q13627,0.9735,0.9604,0.0,0.0,0.9952,0.9949,0.8976,0.9023,0.9976,0.9975,0.9511,0.9523,0.9976,0.9975,0.9511,0.9523,1657,415,56,2016,svc,f1_score,0.9975
