,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
Q14164,0.9798,0.9798,0.8778,0.8778,0.9899,0.9896,0.9357,0.9376,1.0,1.0,1.0,1.0,0.9697,0.9669,0.7843,0.8032,396,99,45,450,svc,cohen_kappa,1.0
P47898,0.9795,0.9735,0.3934,0.4948,0.9905,0.9895,0.7832,0.8023,0.9864,0.9864,0.743,0.743,0.9918,0.9916,0.8379,0.8391,2930,733,99,3564,mlp,cohen_kappa,0.8379
P62993,0.9955,0.9954,0.931,0.9333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997,0.9971,0.9585,0.9593,2687,672,119,3240,rf,cohen_kappa,1.0
P22894,0.9958,0.9958,0.9745,0.9746,0.9948,0.9947,0.9677,0.9682,0.9958,0.9959,0.975,0.975,0.9948,0.9948,0.9682,0.9683,7691,1923,874,8740,svc,cohen_kappa,0.975
P22460,0.9755,0.9754,0.9446,0.9447,0.9755,0.9755,0.9451,0.9452,0.9785,0.9786,0.9519,0.9519,0.9785,0.9785,0.9517,0.9517,1300,326,542,1084,svc,cohen_kappa,0.9519
O96013,0.9722,0.9716,0.8269,0.8283,0.9907,0.9905,0.9423,0.9439,1.0,1.0,1.0,1.0,0.9815,0.9815,0.8898,0.8898,431,108,49,490,svc,cohen_kappa,1.0
P68400,0.9885,0.987,0.7219,0.7515,0.9954,0.9952,0.9039,0.9081,0.9954,0.9955,0.9143,0.9147,0.9954,0.9952,0.9039,0.9081,5239,1310,177,6372,svc,cohen_kappa,0.9143
Q16581,0.9863,0.9858,0.9156,0.9189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9863,0.9858,0.9156,0.9189,290,73,33,330,rf,cohen_kappa,1.0
O15554,0.9615,0.9564,0.6955,0.7301,0.9904,0.9901,0.936,0.9379,0.9712,0.9685,0.7851,0.8039,0.9808,0.9797,0.8648,0.8728,413,104,47,470,rf,cohen_kappa,0.936
P06881,0.9858,0.9853,0.909,0.9128,0.9858,0.9853,0.909,0.9128,0.9858,0.9853,0.909,0.9128,0.9858,0.9853,0.909,0.9128,563,141,64,640,xgb,cohen_kappa,0.909
P21730,0.9883,0.9866,0.7145,0.7455,0.9983,0.9983,0.9669,0.9674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4765,1192,161,5796,svc,cohen_kappa,1.0
Q15759,0.942,0.9284,0.4773,0.5599,0.9565,0.9547,0.7039,0.7073,0.9565,0.9603,0.7767,0.7968,0.942,0.9457,0.6828,0.6915,272,69,31,310,svc,cohen_kappa,0.7767
P34995,0.9883,0.988,0.926,0.9277,0.9965,0.9965,0.9785,0.9787,0.9965,0.9965,0.9792,0.9794,0.9859,0.9858,0.9133,0.9137,3414,854,388,3880,svc,cohen_kappa,0.9792
Q96PY6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972,0.9972,0.9835,0.9837,1.0,1.0,1.0,1.0,1434,359,163,1630,xgb,cohen_kappa,1.0
Q12791,0.9588,0.9533,0.694,0.729,0.9794,0.9782,0.864,0.8721,0.9278,0.9346,0.6569,0.6776,0.9691,0.9698,0.825,0.8264,387,97,44,440,rf,cohen_kappa,0.864
Q9BYF1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,457,115,52,520,xgb,cohen_kappa,1.0
P37088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,378,95,43,430,xgb,cohen_kappa,1.0
Q13946,0.9866,0.9862,0.9139,0.9164,0.9918,0.9916,0.9479,0.9492,0.9846,0.9848,0.9095,0.9103,0.9949,0.9948,0.9679,0.9684,3880,971,441,4410,mlp,cohen_kappa,0.9679
P30419,0.9811,0.9801,0.8699,0.8774,0.9874,0.987,0.9163,0.9195,0.9937,0.9938,0.9621,0.9628,0.9874,0.987,0.9163,0.9195,633,159,72,720,svc,cohen_kappa,0.9621
P21964,0.9717,0.971,0.8266,0.828,0.9811,0.9802,0.8787,0.8853,0.9623,0.9623,0.7792,0.7792,0.9811,0.9802,0.8787,0.8853,422,106,48,480,rf,cohen_kappa,0.8787
Q16539,0.9928,0.9927,0.9553,0.9556,0.9931,0.993,0.9573,0.9577,0.9924,0.9924,0.9545,0.9545,0.9959,0.9959,0.9749,0.9749,11616,2904,1320,13200,mlp,cohen_kappa,0.9749
P05164,0.9807,0.9796,0.872,0.8792,0.9903,0.9901,0.9392,0.9409,0.971,0.9717,0.834,0.8353,0.9565,0.9548,0.7193,0.7225,827,207,94,940,rf,cohen_kappa,0.9392
Q9Y2R2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,299,75,34,340,xgb,cohen_kappa,1.0
P13631,0.9851,0.9845,0.901,0.9055,0.995,0.995,0.9687,0.9692,1.0,1.0,1.0,1.0,0.99,0.9898,0.9358,0.9377,800,201,91,910,svc,cohen_kappa,1.0
Q96JM7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856,0.9861,0.9206,0.9235,554,139,63,630,xgb,cohen_kappa,1.0
Q13153,0.9623,0.9609,0.7488,0.7515,0.9937,0.9936,0.9595,0.9603,0.9623,0.9634,0.7793,0.7814,0.9686,0.969,0.8103,0.8109,633,159,72,720,rf,cohen_kappa,0.9595
P11309,0.9947,0.9947,0.9674,0.9677,0.9951,0.9951,0.9699,0.9702,0.9964,0.9964,0.9781,0.9782,0.9947,0.9947,0.9682,0.9682,9873,2469,1122,11220,svc,cohen_kappa,0.9781
Q15118,0.9955,0.9955,0.9719,0.9723,0.9955,0.9955,0.9719,0.9723,0.991,0.991,0.9451,0.9451,0.991,0.991,0.9451,0.9451,888,223,101,1010,xgb,cohen_kappa,0.9719
P37268,0.985,0.9844,0.901,0.9054,0.988,0.9876,0.9221,0.9249,0.988,0.9878,0.9245,0.9251,0.988,0.9878,0.9245,0.9251,1328,333,151,1510,svc,cohen_kappa,0.9245
Q9GZT9,0.9935,0.9934,0.9594,0.9602,0.9935,0.9934,0.9594,0.9602,0.9935,0.9935,0.9611,0.9612,0.9935,0.9934,0.9594,0.9602,1839,460,209,2090,svc,cohen_kappa,0.9611
P22748,0.9889,0.9877,0.7479,0.7677,0.9948,0.9946,0.8939,0.8969,0.9878,0.9883,0.7899,0.7931,0.9919,0.9915,0.8331,0.8369,6869,1718,235,8352,rf,cohen_kappa,0.8939
Q05397,0.9973,0.9973,0.9469,0.9482,0.9991,0.9991,0.9829,0.983,0.9982,0.9982,0.9663,0.9663,0.9991,0.9991,0.9829,0.983,8998,2250,304,10944,rf,cohen_kappa,0.9829
P04629,0.9801,0.9793,0.8702,0.8738,0.9851,0.9844,0.9021,0.9065,0.988,0.9879,0.926,0.9263,0.9861,0.9858,0.9119,0.9131,4012,1004,456,4560,svc,cohen_kappa,0.926
P53985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,156,39,65,130,xgb,cohen_kappa,1.0
P98170,0.9981,0.9981,0.9885,0.9885,0.999,0.999,0.9942,0.9943,0.9971,0.9972,0.983,0.9832,1.0,1.0,1.0,1.0,4206,1052,478,4780,mlp,cohen_kappa,1.0
P30536,0.9351,0.9328,0.5802,0.5822,1.0,1.0,1.0,1.0,0.974,0.9755,0.8608,0.8692,0.9481,0.9384,0.5769,0.6367,308,77,35,350,rf,cohen_kappa,1.0
P08311,0.9467,0.94,0.6099,0.6378,0.9733,0.9713,0.8193,0.833,0.9533,0.9541,0.7328,0.7334,0.9733,0.9724,0.8316,0.8346,598,150,68,680,mlp,cohen_kappa,0.8316
P23786,0.974,0.972,0.8197,0.8333,0.987,0.9866,0.916,0.9193,1.0,1.0,1.0,1.0,0.974,0.972,0.8197,0.8333,308,77,35,350,svc,cohen_kappa,1.0
P13501,0.9667,0.9628,0.7333,0.7609,0.9833,0.9825,0.88,0.8864,1.0,1.0,1.0,1.0,0.9833,0.9825,0.88,0.8864,237,60,27,270,svc,cohen_kappa,1.0
P10721,0.9905,0.9904,0.9413,0.9416,0.9905,0.9903,0.9405,0.9414,0.9905,0.9905,0.9429,0.9429,0.9878,0.9876,0.9246,0.9249,2939,735,334,3340,svc,cohen_kappa,0.9429
Q99683,0.989,0.9887,0.9274,0.9298,1.0,1.0,1.0,1.0,0.989,0.9893,0.9351,0.9371,0.989,0.9887,0.9274,0.9298,360,91,41,410,rf,cohen_kappa,1.0
P12931,0.9958,0.9958,0.9746,0.9747,0.9944,0.9944,0.9659,0.9661,0.9986,0.9986,0.9917,0.9917,0.9937,0.9937,0.9621,0.9621,5746,1437,653,6530,svc,cohen_kappa,0.9917
P21728,0.9945,0.9942,0.8847,0.8906,0.9942,0.9939,0.8771,0.8838,0.9952,0.9953,0.9108,0.9112,0.9952,0.9951,0.9066,0.9068,12461,3116,421,15156,svc,cohen_kappa,0.9108
Q9GZQ6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184,47,21,210,xgb,cohen_kappa,1.0
O15496,0.9437,0.9304,0.4779,0.5604,0.9577,0.9512,0.6468,0.6913,0.9437,0.9437,0.6359,0.6359,0.9718,0.9718,0.8179,0.8179,281,71,32,320,mlp,cohen_kappa,0.8179
P33032,0.9827,0.9799,0.6588,0.7009,0.9957,0.9955,0.9311,0.9333,0.9957,0.9957,0.9353,0.9353,0.9957,0.9955,0.9311,0.9333,1850,463,82,2231,svc,cohen_kappa,0.9353
P34972,0.9943,0.9942,0.9647,0.965,0.99,0.9898,0.9373,0.9382,0.99,0.9901,0.9409,0.9413,0.9945,0.9945,0.9668,0.9668,16790,4198,1908,19080,mlp,cohen_kappa,0.9668
Q12852,0.9964,0.9964,0.9776,0.9779,0.9964,0.9964,0.9776,0.9779,0.9964,0.9964,0.9781,0.9782,0.9976,0.9976,0.9853,0.9853,3317,830,377,3770,mlp,cohen_kappa,0.9853
O00748,0.9822,0.9778,0.4932,0.5721,0.9985,0.9985,0.9707,0.9711,0.9911,0.9915,0.8455,0.85,0.9866,0.9865,0.736,0.7363,2693,674,91,3276,rf,cohen_kappa,0.9707
Q92934,0.9623,0.9579,0.731,0.7589,0.9811,0.9802,0.8787,0.8853,0.9434,0.9457,0.696,0.6996,0.9057,0.9095,0.4933,0.4959,211,53,24,240,rf,cohen_kappa,0.8787
P29401,0.9811,0.9802,0.8787,0.8853,0.9906,0.9903,0.9422,0.9438,0.9811,0.9819,0.8987,0.9033,0.9717,0.9723,0.8415,0.8427,422,106,48,480,rf,cohen_kappa,0.9422
P06239,0.9943,0.9942,0.9646,0.9652,0.9981,0.9981,0.9884,0.9885,0.9934,0.9934,0.9608,0.9612,0.9896,0.9898,0.9401,0.9418,4224,1056,480,4800,rf,cohen_kappa,0.9884
P23443,0.9949,0.9949,0.9687,0.9691,0.9966,0.9966,0.9793,0.9795,0.9932,0.9932,0.9592,0.9592,0.9966,0.9966,0.9793,0.9795,2367,592,269,2690,rf,cohen_kappa,0.9793
P39900,0.96,0.9596,0.9085,0.9097,0.9689,0.9687,0.9293,0.9297,0.9778,0.9777,0.9495,0.9499,0.9644,0.9639,0.9178,0.9209,900,225,375,750,svc,cohen_kappa,0.9495
P41279,0.9789,0.9778,0.8637,0.8718,0.9789,0.9778,0.8637,0.8718,0.9895,0.9892,0.9354,0.9374,0.9789,0.9778,0.8637,0.8718,378,95,43,430,svc,cohen_kappa,0.9354
Q14790,0.9895,0.9883,0.7517,0.776,0.9977,0.9976,0.9534,0.9544,0.9988,0.9988,0.9772,0.9774,0.9988,0.9988,0.9772,0.9774,3438,860,117,4181,svc,cohen_kappa,0.9772
P28482,0.9964,0.9964,0.9779,0.9781,0.9964,0.9964,0.9779,0.9781,0.997,0.997,0.982,0.982,0.9988,0.9988,0.9928,0.9928,6696,1675,761,7610,mlp,cohen_kappa,0.9928
P05129,0.9767,0.9752,0.8448,0.8551,0.9767,0.9752,0.8448,0.8551,0.9884,0.9887,0.9347,0.9367,0.9884,0.988,0.927,0.9295,343,86,39,390,svc,cohen_kappa,0.9347
Q9HBH1,0.9848,0.9842,0.9009,0.9054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,264,66,30,300,rf,cohen_kappa,1.0
Q13224,0.9828,0.979,0.5385,0.607,0.9943,0.994,0.8808,0.8872,0.9897,0.99,0.8182,0.8198,0.9908,0.991,0.8353,0.836,3492,874,118,4248,rf,cohen_kappa,0.8808
P51787,0.9859,0.9853,0.9015,0.9059,1.0,1.0,1.0,1.0,0.9577,0.9615,0.7774,0.7974,1.0,1.0,1.0,1.0,281,71,32,320,rf,cohen_kappa,1.0
P35557,0.9744,0.9741,0.9412,0.9428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9487,0.9487,0.8846,0.8846,156,39,65,130,rf,cohen_kappa,1.0
Q08345,0.9794,0.9782,0.864,0.8721,0.9794,0.9782,0.864,0.8721,0.9897,0.9899,0.9417,0.9433,0.9588,0.9588,0.7551,0.7551,387,97,44,440,svc,cohen_kappa,0.9417
P15428,0.9967,0.9966,0.9338,0.9359,0.9984,0.9983,0.9679,0.9684,1.0,1.0,1.0,1.0,0.9992,0.9992,0.9847,0.9848,4913,1229,166,5976,svc,cohen_kappa,1.0
P43115,0.9961,0.9961,0.976,0.9763,0.9961,0.9961,0.976,0.9763,0.9961,0.9961,0.976,0.9763,0.9948,0.9948,0.9686,0.9686,3097,775,352,3520,xgb,cohen_kappa,0.976
Q96IY4,0.997,0.9969,0.9396,0.9413,0.999,0.999,0.9806,0.9808,0.999,0.999,0.9813,0.9815,0.9949,0.9947,0.8954,0.9003,3936,985,133,4788,svc,cohen_kappa,0.9813
P11086,0.9874,0.987,0.9163,0.9195,0.9937,0.9936,0.9595,0.9603,0.9874,0.9878,0.9264,0.9289,0.9937,0.9938,0.9621,0.9628,633,159,72,720,mlp,cohen_kappa,0.9621
P42336,0.9945,0.9944,0.9657,0.966,0.9948,0.9948,0.968,0.9682,0.9958,0.9959,0.975,0.975,0.9969,0.9969,0.9811,0.9811,11545,2887,1312,13120,mlp,cohen_kappa,0.9811
P21452,0.9954,0.9954,0.9718,0.972,0.9947,0.9946,0.967,0.9673,0.9878,0.988,0.9282,0.9288,0.9962,0.9962,0.977,0.977,5244,1312,596,5960,mlp,cohen_kappa,0.977
O00311,0.9918,0.9911,0.8195,0.8332,0.9991,0.9991,0.9826,0.9827,0.9973,0.9973,0.951,0.9521,0.9964,0.9962,0.9267,0.9292,4410,1103,149,5364,rf,cohen_kappa,0.9826
Q9H773,0.9839,0.9832,0.9003,0.9048,0.9839,0.9832,0.9003,0.9048,0.9839,0.9832,0.9003,0.9048,0.9839,0.9832,0.9003,0.9048,246,62,28,280,xgb,cohen_kappa,0.9003
P49238,0.9855,0.9849,0.9013,0.9057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,272,69,31,310,rf,cohen_kappa,1.0
Q01726,0.9821,0.9812,0.8793,0.8858,1.0,1.0,1.0,1.0,0.9881,0.9884,0.9309,0.9332,1.0,1.0,1.0,1.0,668,168,76,760,rf,cohen_kappa,1.0
P78540,0.9839,0.9832,0.9003,0.9048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,246,62,28,280,rf,cohen_kappa,1.0
P04062,0.9838,0.983,0.8932,0.8983,0.987,0.9866,0.916,0.9193,0.9838,0.9834,0.8968,0.8985,0.987,0.9866,0.916,0.9193,1232,308,140,1400,rf,cohen_kappa,0.916
P41143,0.9948,0.9947,0.9678,0.968,0.9965,0.9965,0.9785,0.9787,0.9942,0.9942,0.9647,0.9647,0.9945,0.9945,0.9666,0.9666,13736,3435,1561,15610,rf,cohen_kappa,0.9785
P42785,0.9928,0.9923,0.8432,0.8538,0.9953,0.9951,0.9036,0.9078,0.9953,0.9954,0.9149,0.9156,0.9962,0.9961,0.9237,0.9253,9442,2361,319,11484,mlp,cohen_kappa,0.9237
Q16739,0.9882,0.9865,0.7166,0.7473,0.9988,0.9988,0.9772,0.9774,0.9988,0.9988,0.9781,0.9783,1.0,1.0,1.0,1.0,3374,844,114,4104,mlp,cohen_kappa,1.0
P09960,0.9928,0.9927,0.955,0.9559,0.994,0.9939,0.9627,0.9634,0.9964,0.9964,0.9784,0.9784,0.9964,0.9964,0.9782,0.9782,3335,834,379,3790,svc,cohen_kappa,0.9784
P28715,0.9859,0.9853,0.9015,0.9059,0.9859,0.9853,0.9015,0.9059,0.9859,0.9853,0.9015,0.9059,0.9577,0.956,0.7046,0.708,281,71,32,320,xgb,cohen_kappa,0.9015
P34998,0.9933,0.9933,0.9588,0.9592,0.9941,0.9941,0.9637,0.964,0.9933,0.9934,0.9598,0.9598,0.9945,0.9945,0.966,0.9664,10216,2555,1161,11610,mlp,cohen_kappa,0.966
P05412,0.9669,0.9636,0.7609,0.7836,0.9669,0.9636,0.7609,0.7836,0.9752,0.9757,0.8559,0.8569,0.9669,0.9636,0.7609,0.7836,484,121,55,550,svc,cohen_kappa,0.8559
P23526,0.9843,0.9812,0.5933,0.6494,1.0,1.0,1.0,1.0,0.9974,0.9974,0.9532,0.9542,1.0,1.0,1.0,1.0,3048,763,103,3708,rf,cohen_kappa,1.0
O60725,0.9773,0.9771,0.9486,0.9499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9773,0.9774,0.9502,0.9514,172,44,72,144,rf,cohen_kappa,1.0
P21918,0.9754,0.9743,0.8352,0.8393,0.9951,0.995,0.9687,0.9692,0.9803,0.9812,0.8892,0.8947,0.9507,0.9547,0.7461,0.762,809,203,92,920,rf,cohen_kappa,0.9687
P25098,0.9767,0.9752,0.8448,0.8551,1.0,1.0,1.0,1.0,0.9884,0.9887,0.9347,0.9367,0.9767,0.9752,0.8448,0.8551,343,86,39,390,rf,cohen_kappa,1.0
P14091,0.9902,0.9899,0.9358,0.9378,0.9902,0.9899,0.9358,0.9378,0.9804,0.9804,0.8781,0.8781,0.9608,0.9585,0.7291,0.7359,404,102,46,460,xgb,cohen_kappa,0.9358
P07550,0.9935,0.9932,0.8629,0.8693,0.9958,0.9957,0.9152,0.9174,0.9935,0.9937,0.881,0.8816,0.9966,0.9965,0.9335,0.9337,10537,2635,356,12816,mlp,cohen_kappa,0.9335
P37059,0.9953,0.995,0.9014,0.9058,0.9953,0.995,0.9014,0.9058,0.9957,0.9958,0.9222,0.923,0.9953,0.9951,0.9032,0.906,8436,2109,285,10260,svc,cohen_kappa,0.9222
O15054,0.9167,0.9132,0.8,0.8165,0.9167,0.9132,0.8,0.8165,0.9167,0.9132,0.8,0.8165,0.9167,0.9132,0.8,0.8165,48,12,20,40,xgb,cohen_kappa,0.8
Q9UNA0,0.9927,0.9921,0.8414,0.8522,0.996,0.9959,0.919,0.922,0.994,0.994,0.8885,0.8886,0.9953,0.9951,0.9043,0.9085,6008,1503,203,7308,rf,cohen_kappa,0.919
P41594,0.9921,0.992,0.9506,0.9514,0.9945,0.9944,0.9661,0.9662,0.9874,0.9874,0.9241,0.9241,0.9937,0.9937,0.9614,0.9615,5068,1268,576,5760,rf,cohen_kappa,0.9661
P35367,0.985,0.9845,0.903,0.9062,0.985,0.9846,0.9039,0.9063,0.9719,0.9727,0.8403,0.8426,0.9784,0.9789,0.8748,0.8759,4268,1067,485,4850,rf,cohen_kappa,0.9039
P36888,0.9879,0.9878,0.9253,0.9257,0.9879,0.9877,0.9246,0.9254,0.9917,0.9916,0.9488,0.9489,0.9898,0.9898,0.938,0.938,4312,1078,490,4900,svc,cohen_kappa,0.9488
Q8WUI4,0.9362,0.9343,0.8511,0.8607,0.8936,0.8877,0.7437,0.7694,0.9787,0.9785,0.9519,0.953,0.8723,0.8723,0.7157,0.7157,184,47,77,154,svc,cohen_kappa,0.9519
P49798,0.9884,0.988,0.927,0.9295,1.0,1.0,1.0,1.0,0.9884,0.9887,0.9347,0.9367,0.9884,0.988,0.927,0.9295,343,86,39,390,rf,cohen_kappa,1.0
Q9Y271,0.9924,0.9918,0.8349,0.8465,0.9985,0.9985,0.9706,0.9711,0.9985,0.9985,0.9706,0.9711,0.997,0.9969,0.9396,0.9413,2634,659,89,3204,rf,cohen_kappa,0.9706
P23467,0.987,0.9866,0.916,0.9193,0.987,0.9866,0.916,0.9193,0.974,0.974,0.8429,0.8429,0.8701,0.8898,0.4811,0.5288,308,77,35,350,xgb,cohen_kappa,0.916
P56192,0.9516,0.9442,0.6437,0.6889,0.9839,0.9832,0.9003,0.9048,0.9677,0.9677,0.8155,0.8155,0.9677,0.9677,0.8155,0.8155,246,62,28,280,rf,cohen_kappa,0.9003
Q15046,0.963,0.9634,0.9189,0.922,0.963,0.9634,0.9189,0.922,0.963,0.9634,0.9189,0.922,0.963,0.9634,0.9189,0.922,108,27,45,90,xgb,cohen_kappa,0.9189
O75460,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571,0.8464,0.6585,0.7006,55,14,23,46,xgb,cohen_kappa,1.0
P12268,0.9971,0.9971,0.9825,0.9826,0.9981,0.9981,0.9884,0.9884,0.9981,0.9981,0.9884,0.9884,0.9981,0.9981,0.9884,0.9884,4180,1045,475,4750,rf,cohen_kappa,0.9884
P17538,0.9804,0.9799,0.9295,0.9318,0.9608,0.9588,0.8522,0.8616,0.9412,0.9424,0.8061,0.8078,0.9804,0.9799,0.9295,0.9318,201,51,42,210,xgb,cohen_kappa,0.9295
P00374,0.9911,0.9909,0.9441,0.945,0.9911,0.9909,0.9436,0.9451,0.992,0.9919,0.9512,0.9513,0.9884,0.9883,0.9283,0.9287,4479,1120,509,5090,svc,cohen_kappa,0.9512
P34903,0.9704,0.9676,0.7847,0.8035,0.9704,0.9714,0.8299,0.8329,0.9556,0.9584,0.7615,0.7713,0.9704,0.9691,0.8022,0.8062,536,135,61,610,rf,cohen_kappa,0.8299
Q6P988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9928,0.9929,0.959,0.9598,0.9856,0.9861,0.9206,0.9235,554,139,63,630,xgb,cohen_kappa,1.0
Q86X55,0.9718,0.9692,0.7855,0.8042,0.9859,0.9864,0.9154,0.9187,0.9859,0.9864,0.9154,0.9187,1.0,1.0,1.0,1.0,281,71,32,320,mlp,cohen_kappa,1.0
P04054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9928,0.9927,0.9561,0.957,554,139,63,630,xgb,cohen_kappa,1.0
Q16678,0.9873,0.9868,0.9162,0.9194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,624,157,71,710,rf,cohen_kappa,1.0
P09874,0.9955,0.9955,0.9724,0.9726,0.9913,0.9912,0.9455,0.9464,0.9916,0.9916,0.9496,0.9497,0.9947,0.9947,0.9677,0.9677,14273,3569,1622,16220,xgb,cohen_kappa,0.9724
Q00534,0.9972,0.9971,0.9445,0.946,0.9986,0.9986,0.973,0.9733,0.9979,0.9979,0.96,0.9601,0.9986,0.9986,0.973,0.9733,5742,1436,194,6984,rf,cohen_kappa,0.973
O60741,0.9796,0.9782,0.8464,0.8566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,193,49,22,220,rf,cohen_kappa,1.0
P14555,0.9886,0.9882,0.9271,0.9296,0.9886,0.9882,0.9271,0.9296,0.9943,0.9942,0.9646,0.9652,0.9886,0.9882,0.9271,0.9296,1399,350,159,1590,svc,cohen_kappa,0.9646
P80365,0.9811,0.9802,0.8787,0.8853,0.9811,0.9802,0.8787,0.8853,0.9811,0.9811,0.8896,0.8896,0.9811,0.9811,0.8896,0.8896,422,106,48,480,svc,cohen_kappa,0.8896
Q96KQ7,1.0,1.0,1.0,1.0,0.9915,0.9913,0.9477,0.949,1.0,1.0,1.0,1.0,0.9829,0.9821,0.8908,0.8961,466,117,53,530,xgb,cohen_kappa,1.0
Q9BY41,0.9724,0.9723,0.9377,0.9377,0.9807,0.9806,0.9561,0.9566,0.942,0.9418,0.8688,0.869,0.953,0.953,0.8943,0.8943,1447,362,603,1206,rf,cohen_kappa,0.9561
Q92633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9286,0.9265,0.8372,0.8485,52,14,22,44,xgb,cohen_kappa,1.0
P62942,0.9947,0.9946,0.9668,0.9673,0.996,0.996,0.9756,0.9756,0.9987,0.9987,0.9919,0.9919,0.9973,0.9973,0.9836,0.9837,3000,751,341,3410,svc,cohen_kappa,0.9919
O00444,0.9867,0.9862,0.9158,0.9191,0.9933,0.9932,0.9593,0.9601,0.9867,0.9871,0.926,0.9285,0.9867,0.9862,0.9158,0.9191,598,150,68,680,rf,cohen_kappa,0.9593
P35372,0.9959,0.9959,0.9748,0.975,0.9962,0.9961,0.9764,0.9766,0.9972,0.9972,0.983,0.983,0.9967,0.9967,0.9798,0.9798,15602,3901,1773,17730,svc,cohen_kappa,0.983
Q9NXG6,0.9787,0.9773,0.8459,0.8561,0.9787,0.9773,0.8459,0.8561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184,47,21,210,svc,cohen_kappa,1.0
P21554,0.9901,0.9899,0.9378,0.9388,0.9904,0.9902,0.9392,0.9407,0.9808,0.9812,0.8878,0.8886,0.9913,0.9913,0.9471,0.9471,13349,3338,1517,15170,mlp,cohen_kappa,0.9471
O15164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,228,58,26,260,xgb,cohen_kappa,1.0
P51686,0.9874,0.9855,0.6865,0.723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9937,0.9933,0.8635,0.8717,2545,637,86,3096,rf,cohen_kappa,1.0
P06734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9677,0.97,0.8246,0.8376,369,93,42,420,xgb,cohen_kappa,1.0
P16499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,404,102,46,460,xgb,cohen_kappa,1.0
P15328,0.9828,0.9819,0.8797,0.8861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9483,0.9379,0.5492,0.6153,228,58,26,260,rf,cohen_kappa,1.0
Q9H4B4,0.9355,0.9205,0.4746,0.5578,0.9839,0.9832,0.9003,0.9048,0.9516,0.9533,0.7424,0.7451,0.9839,0.9832,0.9003,0.9048,246,62,28,280,rf,cohen_kappa,0.9003
P10826,0.9906,0.9903,0.9393,0.941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953,0.9953,0.9718,0.9722,844,212,96,960,rf,cohen_kappa,1.0
P25105,0.9835,0.9827,0.8896,0.8951,0.9858,0.9853,0.9066,0.9106,0.9905,0.9908,0.9448,0.9462,0.9835,0.9835,0.9,0.9001,1689,423,192,1920,svc,cohen_kappa,0.9448
O00398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,228,58,26,260,xgb,cohen_kappa,1.0
